Title,Link
[이슈칼럼] 개인정보 관리 사각지대 해소해야,https://www.boannews.com/media/view.asp?idx=139200&page=1&kind=6
스페이스X 위성 인터넷 서비스 스타링크 장애 겪어,https://www.boannews.com/media/view.asp?idx=139254&page=1&kind=1
중국 ‘만리방화벽’ 검열 기술, 해외 수출까지…디지털 권위주의 모델 확산 우려,https://www.boannews.com/media/view.asp?idx=139252&page=1&kind=4
국외사용 영업비밀 원본증명서, 정부가 인증해준다,https://www.boannews.com/media/view.asp?idx=139251&page=1&kind=1
중국 APT 그룹, ‘남중국해 분쟁’ 상대 필리핀 군사 시스템 침투,https://www.boannews.com/media/view.asp?idx=139243&page=1&kind=1
배경훈 과기정통부 장관 “보안 체계 전반 개선할 것”...취임 50일 기자간담회,https://www.boannews.com/media/view.asp?idx=139241&page=1&kind=1
2차 민생회복 소비쿠폰 안내 메일 왔다고? 링크 있으면 ‘100% 사기’야,https://www.boannews.com/media/view.asp?idx=139239&page=1&kind=1
AI 활용한 맞춤형 구인구직 서비스로 인재 찾고! 일자리 얻고!,https://www.boannews.com/media/view.asp?idx=139234&page=1&kind=2
[KT 소액 무단결제] 펨토셀로 딸깍? KT 사태 남은 궁금증,https://www.boannews.com/media/view.asp?idx=139236&page=1&kind=1
[카드뉴스] GDPR, 유럽 개인정보보호법… 글로벌 기업이 수천억 과징금 맞은 이유와 대응 원칙,https://www.boannews.com/media/view.asp?idx=139232&page=1&kind=1
넷앤드, ‘해오름의 집’ 여름 캠프 후원... ESG 경영으로 나눔 실천,https://www.boannews.com/media/view.asp?idx=139266&page=1&kind=3
추락·끼임·질식·외국인 등 4대 사망사고... AI로 고위험사업장 집중 관리,https://www.boannews.com/media/view.asp?idx=139263&page=1&kind=2
해양레저 필수 앱 ‘안전해(海)’, 더 똑똑해진 새 기능들로 돌아오다!,https://www.boannews.com/media/view.asp?idx=139264&page=1&kind=2
K-UAM에 4천억 대규모 투자해 기술주도 성장 이끈다,https://www.boannews.com/media/view.asp?idx=139265&page=1&kind=2
국가 연구기관 10년간 해킹 시도 2776건...“SKT·KT는 빙산의 일각”,https://www.boannews.com/media/view.asp?idx=139261&page=1&kind=2
이해민 의원, ‘공공 SW 적정대가 현실화 위한 국회토론회’ 개최,https://www.boannews.com/media/view.asp?idx=139259&page=1&kind=2
엣지디엑스, KISA 지원으로 한미정밀화학에 AI 안전 시스템 구축,https://www.boannews.com/media/view.asp?idx=139260&page=1&kind=3
개인정보위-한국CPO협의회, AI 혁신과 프라이버시 선순환 생태계 조성 나서,https://www.boannews.com/media/view.asp?idx=139258&page=1&kind=2
지하공간 작업자 생명 지키는 ‘서울형 안전조끼’ 배부,https://www.boannews.com/media/view.asp?idx=139250&page=1&kind=2
풍림무약, 책임 있는 경영승계로 ‘2025 우수승계기업’ 중소기업중앙회장상 수상,https://www.boannews.com/media/view.asp?idx=139255&page=1&kind=3
드론·화생방 등 신종 테러에 군·관·경·소방이 함께 정부대전청사 방호,https://www.boannews.com/media/view.asp?idx=139248&page=1&kind=2
카스퍼스키, 중견기업용 보안 솔루션 ‘카스퍼스키 넥스트 XDR 옵티멈’ 공개,https://www.boannews.com/media/view.asp?idx=139256&page=1&kind=3
개인정보위, 글로벌 감독기구·기업들과 ‘오픈소스 AI와 프라이버시’ 논의,https://www.boannews.com/media/view.asp?idx=139253&page=1&kind=2
KISA, ‘2025년 하반기 사이버 위기대응 모의훈련’ 참여기업 모집,https://www.boannews.com/media/view.asp?idx=139246&page=1&kind=2
금융보안원, 금융권 침해위협 분석대회 ‘FIESTA 2025’ 개최,https://www.boannews.com/media/view.asp?idx=139247&page=1&kind=3
스틸리언, 사이버 보안 인재 멘토링 프로그램 6기 지원자 모집,https://www.boannews.com/media/view.asp?idx=139245&page=1&kind=3
펜타시큐리티, 지능형 WAAP 솔루션 ‘와플 v7.0’ 출시,https://www.boannews.com/media/view.asp?idx=139244&page=1&kind=3
디지털서명 ‘유싸인’, HR 담당자 대상 전자계약 대응 방안 웨비나 개최,https://www.boannews.com/media/view.asp?idx=139242&page=1&kind=2
LGU+ 국제 무대서 ‘AI 기반 보이스피싱 탐지 기술’ 알려,https://www.boannews.com/media/view.asp?idx=139240&page=1&kind=3
개인정보위, 전남·세종과 협업해 개인정보 침해요인 개선,https://www.boannews.com/media/view.asp?idx=139237&page=1&kind=2
NIA, 국산 양자 소부장 기술 보급 팔 걷는다,https://www.boannews.com/media/view.asp?idx=139235&page=2&kind=2
시스코, 머신 데이터 AI 활용 가능 인텔리전스 전환 ‘시스코 데이터 패브릭’ 발표,https://www.boannews.com/media/view.asp?idx=139231&page=2&kind=3
시원네트웍스 ‘쿠스토’ 조달청 디지털서비스몰 등록,https://www.boannews.com/media/view.asp?idx=139233&page=2&kind=3
스패로우-SK쉴더스, SW 공급망 보안 강화 맞손,https://www.boannews.com/media/view.asp?idx=139229&page=2&kind=3
에스투더블유, 19일 상장...경쟁률 1972대 1 기록 ‘흥행 성공’,https://www.boannews.com/media/view.asp?idx=139230&page=2&kind=3
카이스트, ‘토르’ 보안 취약점 발견해 해결…“단돈 2달러로 사이트 마비 가능”,https://www.boannews.com/media/view.asp?idx=139228&page=2&kind=5
[이원태의 글로벌 AI안보 전략-5] AI 지정학의 새로운 차원: 기술경쟁을 넘어 사회적 역량으로,https://www.boannews.com/media/view.asp?idx=139227&page=2&kind=2
초등학교·통학로에 경찰인원 5만여명 배치...아동 안전 확보 나선다,https://www.boannews.com/media/view.asp?idx=139225&page=2&kind=2
대구·경북 CISO 협의회, 제2차 포럼 성료,https://www.boannews.com/media/view.asp?idx=139226&page=2&kind=3
[IP포토] “특허 빅데이터, 이렇게 써먹으세요”...KIPRIS 활용사례 공모전 등 개최,https://www.boannews.com/media/view.asp?idx=139224&page=2&kind=1
DDoS 공격이 지정학적 갈등 새 무기...핵심 인프라 위협,https://www.boannews.com/media/view.asp?idx=139222&page=2&kind=1
[KT 소액 무단결제] 개인정보 유출 확인, 불법 기지국 확보는 아직 ...사태 커져가,https://www.boannews.com/media/view.asp?idx=139223&page=2&kind=1
AI스페라, 우회 IP도 탐지해 해커 잡는다...추적 기술 美 특허 등록,https://www.boannews.com/media/view.asp?idx=139221&page=2&kind=3
행안부, ‘잠재 재난위험 분석 보고서’ 5차 발간...사회 속 잠재 재난위험은?,https://www.boannews.com/media/view.asp?idx=139218&page=2&kind=2
현대엘리베이터-아마노코리아, 스마트 빌딩 시장 공략위한 전략적 업무협약 체결,https://www.boannews.com/media/view.asp?idx=139220&page=2&kind=3
몽클레르, 고객 23만명 개인정보 유출로 과징금 부과,https://www.boannews.com/media/view.asp?idx=139219&page=2&kind=1
[김정덕의 보안 다반사-1] 골프의 지혜로 배우는 사이버 레질리언스,https://www.boannews.com/media/view.asp?idx=139216&page=2&kind=3
[KT 소액 무단결제] 개인정보위, “KT, 개인정보 유출 경위·피해 규모 조사”,https://www.boannews.com/media/view.asp?idx=139217&page=2&kind=1
서울대, 정보보호 전문인력 양성 나서,https://www.boannews.com/media/view.asp?idx=139215&page=2&kind=2
李 대통령, “소액결제 해킹 전모 확인하고 추가 피해 막아야”,https://www.boannews.com/media/view.asp?idx=139214&page=2&kind=2
LGU+ 익시오, 그놈 목소리로 탐지 정확도 높인다,https://www.boannews.com/media/view.asp?idx=139213&page=3&kind=2
[KT 무단 소액결제] 사용자 식별 IMSI 정보 유출됐다,https://www.boannews.com/media/view.asp?idx=139212&page=3&kind=1
1180만건 공공저작물 AI 학습에 활용...규제특례 8건 지정,https://www.boannews.com/media/view.asp?idx=139211&page=3&kind=2
개인정보 유출 반복 기업 과징금 가중, CPO 권한 확보...SKT 사태 재발 막는다,https://www.boannews.com/media/view.asp?idx=139210&page=3&kind=1
[KT 무단 소액결제] 배경훈 과기정통부 장관, KT 해킹사고 관련 현장 점검,https://www.boannews.com/media/view.asp?idx=139209&page=3&kind=1
IP서비스 역할 정립, 업계가 나섰다...KAIPS, 정책과제 취합·선별 착수,https://www.boannews.com/media/view.asp?idx=139208&page=3&kind=2
개인정보위, 연내 택배 운송장 마스킹 규칙 통일...개인정보 보호 강화,https://www.boannews.com/media/view.asp?idx=139207&page=3&kind=2
[KT 무단 소액결제] 피해 확인과 해킹 차단 ‘A to Z’,https://www.boannews.com/media/view.asp?idx=139204&page=3&kind=1
[배종찬의 보안 빅데이터] KT 소액 결제 해킹, 빠른 수습 필요하다,https://www.boannews.com/media/view.asp?idx=139205&page=3&kind=1
중앙전파관리소, 불법 무선국 선박 운항 막는다,https://www.boannews.com/media/view.asp?idx=139194&page=3&kind=2
[AI와 보안] 샌즈랩, LLM 모델 지키는 ‘GLX’  공개...보안 성능·속도 혁신,https://www.boannews.com/media/view.asp?idx=139201&page=3&kind=3
